rainfall,temp,soil_type,cultivation_method,fertilizer,yield,humidity,tree_name
2996.6,27,Đất đỏ,Hữu cơ,Không sử dụng,42915,54,Dừa
3522.8,27.2,Đất đỏ,Hữu cơ,Không sử dụng,9230,54.5,Dừa
3522.8,27.2,Đất đỏ,Hữu cơ,Không sử dụng,44313,56.6,Dừa
3522.8,27.2,Đất đỏ,Hữu cơ,Không sử dụng,45820,55.5,Dừa
3729.8,27,Đất đỏ,Hữu cơ,Không sử dụng,49084,58.5,Dừa
3729.8,27,Đất đỏ,Hữu cơ,Không sử dụng,86311,59.5,Dừa
3729.8,27,Đất đỏ,Hữu cơ,Không sử dụng,57642,55,Dừa
2746.2,27,Đất đỏ,Hữu cơ,Không sử dụng,58405,53,Dừa
2746.2,27,Đất đỏ,Hữu cơ,Không sử dụng,60751,53.5,Dừa
2746.2,27,Đất đỏ,Hữu cơ,Không sử dụng,109506,52.5,Dừa
3360,27.2,Đất đỏ,Hữu cơ,Không sử dụng,114,56,Dừa
3360,27.2,Đất đỏ,Hữu cơ,Không sử dụng,3,57,Dừa
3360,27.2,Đất đỏ,Hữu cơ,Không sử dụng,95,57.5,Dừa
3605.4,27.1,Đất đỏ,Hữu cơ,Không sử dụng,19,57,Dừa
3605.4,27.1,Đất đỏ,Hữu cơ,Không sử dụng,54,55,Dừa
3605.4,27.1,Đất đỏ,Hữu cơ,Không sử dụng,13,56,Dừa
3512.4,26.8,Đất đỏ,Hữu cơ,Không sử dụng,123,54,Dừa
3512.4,26.8,Đất đỏ,Hữu cơ,Không sử dụng,19,58,Dừa
3512.4,26.8,Đất đỏ,Hữu cơ,Không sử dụng,32,58,Dừa
3296,37,Đất đỏ,Hữu cơ,Không sử dụng,8,59,Dừa
3296,37,Đen,Hữu cơ,Không sử dụng,50,50,Dừa
3296,37,Đen,Hữu cơ,Không sử dụng,10,54,Dừa
3550,38,Đen,Hữu cơ,Không sử dụng,29,53,Dừa
3550,38,Đen,Hữu cơ,Không sử dụng,44,52,Dừa
3550,38,Đen,Hữu cơ,Không sử dụng,33,51,Dừa
3654,39,Đen,Hữu cơ,Không sử dụng,14,57,Dừa
3654,39,Đen,Hữu cơ,Không sử dụng,56,57,Dừa
3654,39,Đen,Hữu cơ,Không sử dụng,26,60,Dừa
233,40,Đen,Hữu cơ,Không sử dụng,98,57,Dừa
233,40,Đen,Hữu cơ,Không sử dụng,3,57,Dừa
233,40,Đen,Hữu cơ,Không sử dụng,58637,54,Dừa
234,41,Đen,Hữu cơ,Không sử dụng,59777,54.5,Dừa
234,41,Đen,Hữu cơ,Không sử dụng,60528,56.6,Dừa
234,41,Đen,Hữu cơ,Không sử dụng,61126,55.5,Dừa
3105,42,Đen,Hữu cơ,Không sử dụng,623687,58.5,Dừa
3105,42,Đen,Hữu cơ,Không sử dụng,63504,59.5,Dừa
3105,42,Đen,Hữu cơ,Không sử dụng,63931,55,Dừa
236,43,Đen,Hữu cơ,Không sử dụng,73730,53,Dừa
2903.1,27,Đen,Truyền thống,Không sử dụng,118416,53.5,Dừa
2903.1,27,Đen,Truyền thống,Không sử dụng,130132,52.5,Dừa
2903.1,27,Đen,Truyền thống,Không sử dụng,154889,56,Dừa
2996.6,27,Đen,Truyền thống,Không sử dụng,171739,57,Dừa
2996.6,27,Đen,Truyền thống,Không sử dụng,172475,57.5,Dừa
2996.6,27,Đen,Truyền thống,Không sử dụng,177939,57,Dừa
3522.8,27.2,Đen,Truyền thống,Không sử dụng,313547,55,Dừa
3522.8,27.2,Đen,Truyền thống,Không sử dụng,2783,56,Dừa
3522.8,27.2,Đen,Truyền thống,Không sử dụng,1533,54,Dừa
3729.8,27,Đen,Truyền thống,Không sử dụng,1647,58,Dừa
3729.8,27,Đen,Truyền thống,Không sử dụng,975,58,Dừa
3729.8,27,Đen,Truyền thống,Không sử dụng,2,59,Dừa
2746.2,27,Đen,Truyền thống,Không sử dụng,836,50,Dừa
2746.2,27,Đất thịt,Truyền thống,Không sử dụng,806,54,Dừa
2746.2,27,Đất thịt,Truyền thống,Không sử dụng,880,53,Dừa
3360,27.2,Đất thịt,Truyền thống,Không sử dụng,770,52,Dừa
3360,27.2,Đất thịt,Truyền thống,Không sử dụng,395,51,Dừa
3360,27.2,Đất thịt,Truyền thống,Không sử dụng,187,57,Dừa
3605.4,27.1,Đất thịt,Truyền thống,Không sử dụng,187,57,Dừa
3605.4,27.1,Đất thịt,Truyền thống,Không sử dụng,121,60,Dừa
3605.4,27.1,Đất thịt,Truyền thống,Không sử dụng,103,57,Dừa
3512.4,26.8,Đất thịt,Truyền thống,Không sử dụng,71,57,Dừa
3512.4,26.8,Đất thịt,Truyền thống,Không sử dụng,3961,54,Dừa
3512.4,26.8,Đất thịt,Truyền thống,Không sử dụng,4247,54.5,Dừa
3296,37,Đất thịt,Truyền thống,Không sử dụng,3290,56.6,Dừa
3296,37,Đất thịt,Truyền thống,Không sử dụng,3138,55.5,Dừa
3296,37,Đất thịt,Truyền thống,Không sử dụng,3423,58.5,Dừa
3550,38,Đất thịt,Truyền thống,Không sử dụng,3899,59.5,Dừa
3550,38,Đất thịt,Truyền thống,Không sử dụng,4015,55,Dừa
3550,38,Đất thịt,Truyền thống,Không sử dụng,4279,53,Dừa
3654,39,Đất thịt,Truyền thống,Không sử dụng,4167,53.5,Dừa
3654,39,Đất thịt,Truyền thống,Không sử dụng,4479,52.5,Dừa
3654,39,Đất thịt,Truyền thống,Không sử dụng,3699,56,Dừa
233,40,Đất thịt,Truyền thống,Không sử dụng,4904,57,Dừa
233,40,Đất thịt,Truyền thống,Không sử dụng,2821,57.5,Dừa
233,40,Đất thịt,Truyền thống,Không sử dụng,3472,57,Dừa
234,41,Đất thịt,Truyền thống,Không sử dụng,3647,55,Dừa
234,41,Đất thịt,Truyền thống,Không sử dụng,393,56,Dừa
234,41,Đất đỏ,Truyền thống,Không sử dụng,167,54,Dừa
3105,42,Đất đỏ,Truyền thống,Không sử dụng,71,58,Dừa
3105,42,Đất đỏ,Truyền thống,Không sử dụng,52,58,Dừa
3105,42,Đất đỏ,Truyền thống,Không sử dụng,12,59,Dừa
236,43,Đất đỏ,Truyền thống,Không sử dụng,51,50,Dừa
236,43,Đất đỏ,Truyền thống,Không sử dụng,61,54,Dừa
321,128,Đất đỏ,Truyền thống,Hữu cơ,67,53,Ca cao
3654,129,Đất đỏ,Truyền thống,Hữu cơ,62,52,Ca cao
323,130,Đất đỏ,Truyền thống,Hữu cơ,32,51,Ca cao
324,131,Đất đỏ,Truyền thống,Hữu cơ,22,57,Ca cao
3105,132,Đất đỏ,Truyền thống,Hữu cơ,25,57,Ca cao
326,133,Đất đỏ,Truyền thống,Hữu cơ,4,60,Ca cao
327,134,Đất đỏ,Truyền thống,Vô cơ,9,57,Coffee
328,135,Đất đỏ,Truyền thống,Vô cơ,12,57,Coffee
2903.1,136,Đất đỏ,Truyền thống,Vô cơ,2089,54,Coffee
2903.1,137,Đất đỏ,Truyền thống,Vô cơ,2810,54.5,Coffee
2903.1,138,Đất đỏ,Truyền thống,Vô cơ,841,56.6,Coffee
2996.6,139,Đất đỏ,Truyền thống,Vô cơ,3550,55.5,Coffee
2996.6,140,Đất đỏ,Truyền thống,Vô cơ,109,58.5,Coffee
2996.6,141,Đất đỏ,Truyền thống,Vô cơ,3368,59.5,Coffee
3522.8,142,Đất đỏ,Truyền thống,Vô cơ,3671,55,Coffee
3522.8,143,Đất đỏ,Truyền thống,Vô cơ,2404,53,Coffee
3522.8,144,Đất đỏ,Truyền thống,Vô cơ,2805,53.5,Coffee
3729.8,145,Đất đỏ,Truyền thống,Vô cơ,2331,52.5,Coffee
3729.8,146,Đất đỏ,Truyền thống,Vô cơ,2088,56,Coffee
3729.8,147,Đen,Truyền thống,Vô cơ,2628,57,Coffee
2746.2,148,Đen,Truyền thống,Vô cơ,1939,57.5,Coffee
2746.2,149,Đen,Truyền thống,Vô cơ,1871,57,Thảo quả
2746.2,150,Đen,Truyền thống,Vô cơ,1868,55,Thảo quả
3360,151,Đen,Truyền thống,Vô cơ,127919,56,Thảo quả
3360,152,Đen,Truyền thống,Vô cơ,75340,54,Thảo quả
3360,153,Đen,Truyền thống,Vô cơ,29170,58,Thảo quả
3605.4,154,Đen,Truyền thống,Vô cơ,1901,58,Thảo quả
3605.4,155,Đen,Truyền thống,Vô cơ,972,59,Thảo quả
3605.4,156,Đen,Truyền thống,Vô cơ,874,50,Thảo quả
3512.4,157,Đen,Truyền thống,Vô cơ,592,54,Thảo quả
3512.4,158,Đen,Truyền thống,Vô cơ,864,53,Thảo quả
3512.4,159,Đen,Truyền thống,Vô cơ,5373,52,Thảo quả
3296,160,Đen,Truyền thống,Vô cơ,6589,51,Thảo quả
3296,161,Đen,Truyền thống,Vô cơ,5107,57,Thảo quả
3296,162,Đen,Truyền thống,Vô cơ,5518,57,Thảo quả
3550,163,Đen,Truyền thống,Vô cơ,4912,60,Thảo quả
3550,164,Đen,Truyền thống,Hữu cơ,3830,57,Tiêu
3550,165,Đen,Truyền thống,Hữu cơ,4,57,Tiêu
3654,166,Đen,Truyền thống,Hữu cơ,9,54,Tiêu
3654,167,Đen,Truyền thống,Hữu cơ,12,54.5,Tiêu
3654,168,Đen,Truyền thống,Hữu cơ,2089,56.6,Tiêu
233,169,Đen,Truyền thống,Hữu cơ,2810,55.5,Tiêu
233,170,Đen,Truyền thống,Hữu cơ,841,58.5,Tiêu
233,171,Đen,Khí canh,Hữu cơ,3550,59.5,Tiêu
234,172,Đất phù sa,Hữu cơ,Hữu cơ,109,55,Tiêu
234,173,Đất phù sa,Hữu cơ,Hữu cơ,3368,53,Tiêu
234,174,Đất phù sa,Hữu cơ,Hữu cơ,3671,53.5,Tiêu
3105,175,Đất phù sa,Hữu cơ,Hữu cơ,2404,52.5,Tiêu
3105,176,Đất phù sa,Hữu cơ,Hữu cơ,2805,56,Tiêu
3105,177,Đất phù sa,Hữu cơ,Hữu cơ,2331,57,Tiêu
236,178,Đất phù sa,Hữu cơ,Hữu cơ,2088,57.5,Tiêu
236,179,Đất phù sa,Hữu cơ,Không sử dụng,2628,57,Cau
2903.1,180,Đất phù sa,Hữu cơ,Không sử dụng,1939,55,Cau
2903.1,181,Đất phù sa,Hữu cơ,Không sử dụng,1871,56,Cau
2903.1,182,Đất phù sa,Hữu cơ,Không sử dụng,1868,54,Cau
2996.6,183,Đất phù sa,Hữu cơ,Không sử dụng,127919,58,Cau
2996.6,184,Đất phù sa,Hữu cơ,Không sử dụng,75340,58,Cau
2996.6,185,Đất phù sa,Hữu cơ,Không sử dụng,29170,59,Cau
3522.8,186,Đất phù sa,Hữu cơ,Không sử dụng,1901,50,Cau
3522.8,187,Đất phù sa,Hữu cơ,Không sử dụng,972,54,Cau
3522.8,188,Đất phù sa,Hữu cơ,Không sử dụng,874,53,Cau
2903.1,189,Đất phù sa,Hữu cơ,Không sử dụng,592,52,Cau
2903.1,190,Đất phù sa,Hữu cơ,Không sử dụng,864,51,Cau
2903.1,191,Đất phù sa,Hữu cơ,Không sử dụng,5373,57,Cau
2996.6,192,Đất phù sa,Hữu cơ,Không sử dụng,6589,57,Cau
2996.6,193,Đất phù sa,Hữu cơ,Không sử dụng,5107,60,Cau
2996.6,194,Đất phù sa,Hữu cơ,Hữu cơ,5518,57,Gừng
3522.8,195,Đất phù sa,Hữu cơ,Hữu cơ,4912,57,Gừng
3522.8,196,Đất phù sa,Hữu cơ,Hữu cơ,3830,54,Gừng
3522.8,197,Đất pha cát,Hữu cơ,Hữu cơ,4,54.5,Gừng
3729.8,198,Đất pha cát,Hữu cơ,Hữu cơ,9,56.6,Gừng
3729.8,199,Đất pha cát,Hữu cơ,Hữu cơ,12,55.5,Gừng
3729.8,200,Đất pha cát,Hữu cơ,Hữu cơ,2089,58.5,Gừng
2746.2,201,Đất pha cát,Hữu cơ,Hữu cơ,2810,59.5,Gừng
2746.2,202,Đất pha cát,Hữu cơ,Hữu cơ,841,55,Gừng
2746.2,203,Đất pha cát,Hữu cơ,Hữu cơ,3550,53,Gừng
3360,204,Đất pha cát,Hữu cơ,Hữu cơ,109,53.5,Gừng
3360,205,Đất pha cát,Hữu cơ,Hữu cơ,3368,52.5,Gừng
3360,206,Đất pha cát,Hữu cơ,Hữu cơ,3671,56,Gừng
3605.4,207,Đất pha cát,Hữu cơ,Hữu cơ,2404,57,Gừng
3605.4,208,Đất pha cát,Hữu cơ,Hữu cơ,2805,57.5,Gừng
3605.4,209,Đất pha cát,Hữu cơ,Không sử dụng,2331,57,Trà
3512.4,210,Đất pha cát,Hữu cơ,Không sử dụng,2088,55,Trà
3512.4,211,Đất pha cát,Hữu cơ,Không sử dụng,2628,56,Trà
3512.4,212,Đất pha cát,Hữu cơ,Không sử dụng,1939,54,Trà
3296,213,Đất pha cát,Hữu cơ,Không sử dụng,1871,58,Trà
3296,214,Đất pha cát,Hữu cơ,Không sử dụng,1868,58,Trà
3296,215,Đất pha cát,Truyền thống,Hữu cơ,127919,59,Trà
3550,216,Đất pha cát,Truyền thống,Hữu cơ,75340,50,Trà
3550,217,Đất pha cát,Truyền thống,Hữu cơ,29170,54,Trà
3550,218,Đất pha cát,Truyền thống,Hữu cơ,1901,53,Trà
3654,219,Đất pha cát,Truyền thống,Hữu cơ,972,52,Trà
3654,220,Đất pha cát,Truyền thống,Hữu cơ,874,51,Trà
3654,221,Đất pha cát,Truyền thống,Hữu cơ,592,57,Trà
233,222,Đất đá ong đỏ,Truyền thống,Hữu cơ,864,57,Trà
233,27,Đất đá ong đỏ,Truyền thống,Hữu cơ,5373,60,Trà
233,27,Đất đá ong đỏ,Truyền thống,Vô cơ,6589,57,Lúa
234,27,Đất đá ong đỏ,Truyền thống,Vô cơ,5107,57,Lúa
234,27,Đất đá ong đỏ,Truyền thống,Vô cơ,5518,54,Lúa
234,27,Đất đá ong đỏ,Truyền thống,Vô cơ,4912,54.5,Lúa
3105,27.2,Đất đá ong đỏ,Truyền thống,Vô cơ,3830,56.6,Lúa
3105,27.2,Đất đá ong đỏ,Truyền thống,Vô cơ,313547,55.5,Lúa
3105,27.2,Đất đá ong đỏ,Truyền thống,Vô cơ,2783,58.5,Lúa
236,27,Đất đá ong đỏ,Truyền thống,Vô cơ,1533,59.5,Lúa
236,27,Đất đá ong đỏ,Truyền thống,Vô cơ,1647,55,Lúa
2903.1,27,Đất đá ong đỏ,Truyền thống,Vô cơ,975,53,Lúa
2903.1,27,Đất đá ong đỏ,Truyền thống,Vô cơ,2,53.5,Lúa
2903.1,27,Đất đá ong đỏ,Truyền thống,Vô cơ,836,52.5,Lúa
2996.6,27,Đất đá ong đỏ,Truyền thống,Vô cơ,806,56,Lúa
2996.6,27.2,Đất đá ong đỏ,Truyền thống,Vô cơ,880,57,Lúa
2996.6,27.2,Đất đá ong đỏ,Truyền thống,Vô cơ,770,57.5,Lúa
3522.8,27.2,Đất đá ong đỏ,Truyền thống,Hữu cơ,395,57,Lạc
3522.8,27.1,Đất đá ong đỏ,Truyền thống,Hữu cơ,187,55,Lạc
3522.8,27.1,Đất đá ong đỏ,Truyền thống,Hữu cơ,187,56,Lạc
2903.1,27.1,Đất đá ong đỏ,Truyền thống,Hữu cơ,121,54,Lạc
2903.1,26.8,Đất đá ong đỏ,Truyền thống,Hữu cơ,103,58,Lạc
2903.1,26.8,Đất đá ong đỏ,Truyền thống,Hữu cơ,71,58,Lạc
2996.6,26.8,Đất đá ong đỏ,Truyền thống,Hữu cơ,3961,59,Lạc
2996.6,37,Đất đá ong đỏ,Truyền thống,Hữu cơ,4247,50,Lạc
2996.6,37,pha,Truyền thống,Hữu cơ,3290,54,Lạc
3522.8,37,Đen màu mỡ,Truyền thống,Hữu cơ,3138,53,Lạc
3522.8,38,Đen màu mỡ,Truyền thống,Hữu cơ,3423,52,Lạc
3522.8,38,Đen màu mỡ,Truyền thống,Hữu cơ,3899,51,Lạc
3729.8,38,Đen màu mỡ,Truyền thống,Hữu cơ,4015,57,Lạc
3729.8,39,Đen màu mỡ,Truyền thống,Hữu cơ,4279,57,Lạc
3729.8,39,Đen màu mỡ,Truyền thống,Hữu cơ,4167,60,Lạc
2746.2,39,Đen màu mỡ,Thủy canh,Không sử dụng,4479,57,Đậu đen
2746.2,40,Đen màu mỡ,Thủy canh,Không sử dụng,3699,57,Đậu đen
2746.2,40,Đen màu mỡ,Thủy canh,Không sử dụng,4904,54,Đậu đen
3360,40,Đen màu mỡ,Thủy canh,Không sử dụng,2821,54.5,Đậu đen
3360,41,Đen màu mỡ,Thủy canh,Không sử dụng,3472,56.6,Đậu đen
3360,41,Đen màu mỡ,Khí canh,Hữu cơ,3647,55.5,Đậu đen
3605.4,41,Đen màu mỡ,Khí canh,Hữu cơ,393,58.5,Đậu đen
3605.4,42,Đen màu mỡ,Khí canh,Hữu cơ,167,59.5,Đậu đen
3605.4,42,Đen màu mỡ,Khí canh,Hữu cơ,71,55,Đậu đen
3512.4,42,Đen màu mỡ,Khí canh,Hữu cơ,52,53,Đậu đen
3512.4,43,Đen màu mỡ,Khí canh,Hữu cơ,313547,53.5,Đậu đen
3512.4,43,Đen màu mỡ,Khí canh,Hữu cơ,2783,52.5,Đậu đen
3296,27,Đen màu mỡ,Khí canh,Hữu cơ,1533,56,Đậu đen
3296,27,Đen màu mỡ,Khí canh,Hữu cơ,1647,59.5,Đậu đen
3296,27,Đen màu mỡ,Khí canh,Hữu cơ,975,55,Đậu đen
3550,27,Đen màu mỡ,Truyền thống,Vô cơ,2,53,Hạt điều
3550,27,Đen màu mỡ,Truyền thống,Vô cơ,836,53.5,Hạt điều
3550,27,Đen màu mỡ,Truyền thống,Vô cơ,806,52.5,Hạt điều
3654,27.2,Cát,Truyền thống,Vô cơ,880,56,Hạt điều
3654,27.2,Cát,Truyền thống,Vô cơ,770,57,Hạt điều
3654,27.2,Cát,Truyền thống,Vô cơ,395,57.5,Hạt điều
233,27,Cát,Truyền thống,Vô cơ,187,57,Hạt điều
233,27,Cát,Truyền thống,Vô cơ,187,55,Hạt điều
233,27,Cát,Truyền thống,Vô cơ,121,56,Hạt điều
234,27,Cát,Truyền thống,Vô cơ,103,54,Hạt điều
234,27,Cát,Truyền thống,Vô cơ,71,58,Hạt điều
234,27,Cát,Truyền thống,Vô cơ,3961,58,Hạt điều
3105,27.2,Cát,Truyền thống,Vô cơ,4247,59,Hạt điều
3105,27.2,Cát,Truyền thống,Vô cơ,3290,50,Hạt điều
3105,27.2,Cát,Truyền thống,Vô cơ,3138,54,Hạt điều
236,27.1,Cát,Truyền thống,Hữu cơ,3423,53,Dừa
236,27.1,Cát,Truyền thống,Hữu cơ,3899,59.5,Dừa
2903.1,27.1,Cát,Truyền thống,Hữu cơ,4015,55,Dừa
2903.1,26.8,Cát,Truyền thống,Hữu cơ,4279,53,Dừa
2903.1,26.8,Cát,Truyền thống,Hữu cơ,4167,53.5,Dừa
2996.6,26.8,Cát,Truyền thống,Hữu cơ,4479,52.5,Dừa
2996.6,37,Cát,Truyền thống,Hữu cơ,3699,56,Dừa
2996.6,37,Cát,Truyền thống,Hữu cơ,4904,57,Dừa
3522.8,37,Cát,Truyền thống,Hữu cơ,2821,57.5,Dừa
3522.8,38,Cát,Truyền thống,Hữu cơ,3472,57,Dừa
3522.8,38,Cát,Truyền thống,Hữu cơ,3647,55,Dừa
2903.1,38,Cát,Truyền thống,Hữu cơ,393,56,Dừa
2903.1,39,Cát,Truyền thống,Hữu cơ,167,54,Dừa
2903.1,39,Đất đá ong,Truyền thống,Hữu cơ,71,58,Dừa
2996.6,39,Đất đá ong,Truyền thống,Hữu cơ,52,58,Dừa
2996.6,40,Đất đá ong,Truyền thống,Hữu cơ,2570,59,Dừa
2996.6,40,Đất đá ong,Truyền thống,Hữu cơ,27170,50,Gừng
3522.8,40,Đất đá ong,Truyền thống,Hữu cơ,114744,54,Gừng
3522.8,41,Đất đá ong,Truyền thống,Hữu cơ,1402,53,Gừng
3522.8,41,Đất đá ong,Hữu cơ,Hữu cơ,23456,59.5,Gừng
3729.8,41,Đất đá ong,Hữu cơ,Hữu cơ,107809,55,Gừng
3729.8,42,Đất đá ong,Hữu cơ,Hữu cơ,1132,53,Gừng
3729.8,42,Đất đá ong,Hữu cơ,Hữu cơ,23960,53.5,Gừng
2746.2,42,Đất đá ong,Hữu cơ,Hữu cơ,126487,52.5,Gừng
2746.2,43,Đất đá ong,Hữu cơ,Hữu cơ,804,56,Gừng
2746.2,27,Đất đá ong,Hữu cơ,Hữu cơ,30362,57,Gừng
3360,27,Đất đá ong,Hữu cơ,Hữu cơ,124492,57.5,Gừng
3360,27,Đất đá ong,Hữu cơ,Hữu cơ,792,57,Gừng
3360,27,Đất đá ong,Hữu cơ,Hữu cơ,34153,55,Gừng
3605.4,27,Đất đá ong,Hữu cơ,Hữu cơ,132551,56,Gừng
3605.4,27,Đất đá ong,Hữu cơ,Hữu cơ,338,54,Gừng
2903.1,27,Đất đá ong,Truyền thống,Hữu cơ,2570,57,Dừa
2903.1,27,Đất đá ong,Truyền thống,Hữu cơ,27170,57.5,Dừa
2903.1,27.2,Đất đá ong,Truyền thống,Hữu cơ,114744,57,Dừa
2996.6,27.2,Đất đá ong,Truyền thống,Hữu cơ,1402,55,Dừa
2996.6,27.2,Đất đá ong,Truyền thống,Hữu cơ,23456,56,Dừa
2996.6,27,Đất đá ong,Truyền thống,Hữu cơ,107809,54,Dừa
3522.8,27,Đất đá ong,Truyền thống,Hữu cơ,1132,58,Dừa
3522.8,27,Đất đá ong,Truyền thống,Hữu cơ,23960,58,Dừa
3522.8,27,Đất đá ong,Truyền thống,Hữu cơ,126487,59,Dừa
3729.8,27,Đất đá ong,Truyền thống,Hữu cơ,804,50,Dừa
3729.8,27,Đất đá ong,Truyền thống,Hữu cơ,30362,54,Dừa
3729.8,27.2,Đất đá ong,Truyền thống,Hữu cơ,124492,53,Dừa
2746.2,27.2,Đất đá ong,Truyền thống,Hữu cơ,792,52,Dừa
2746.2,27.2,Đất đá ong,Truyền thống,Hữu cơ,34153,51,Dừa
2746.2,27.1,Đất đá ong,Truyền thống,Hữu cơ,132551,57,Dừa
3360,27.1,Đất đá ong,Truyền thống,Hữu cơ,338,57,Dừa
3360,27.1,Đất đá ong,Truyền thống,Hữu cơ,22966,60,Dừa
3360,26.8,Đất đá ong,Truyền thống,Hữu cơ,131763,57,Dừa
3605.4,26.8,Đất đá ong,Truyền thống,Hữu cơ,404,57,Dừa
3605.4,27.1,Đất đá ong,Truyền thống,Hữu cơ,24184,54,Dừa
3605.4,27.1,Đất đá ong,Truyền thống,Hữu cơ,124387,54.5,Dừa
3512.4,26.8,Đất đá ong,Truyền thống,Hữu cơ,343,56.6,Dừa
3512.4,26.8,Đất đá ong,Truyền thống,Hữu cơ,23099,55.5,Dừa
3512.4,26.8,Đất đá ong,Truyền thống,Hữu cơ,117825.84,58.5,Dừa
3296,37,Đất đá ong,Truyền thống,Hữu cơ,336,59.5,Dừa
3550,37,Đất đá ong,Truyền thống,Hữu cơ,22594,55,Dừa
3550,37,Đất đá ong,Truyền thống,Hữu cơ,116481.07,53,Dừa
3550,38,Đất đá ong,Truyền thống,Hữu cơ,316,53.5,Dừa
3654,38,Đất đá ong,Truyền thống,Hữu cơ,21400,52.5,Dừa
3654,38,Đất đá ong,Truyền thống,Hữu cơ,122102,56,Dừa
3654,39,Đất đá ong,Truyền thống,Hữu cơ,382,57,Dừa
233,39,Đất đá ong,Truyền thống,Hữu cơ,19578,57.5,Dừa
233,39,Đất đá ong,Truyền thống,Hữu cơ,121037,57,Dừa
233,40,Đất đá ong,Truyền thống,Hữu cơ,231,55,Dừa
234,40,Đất đá ong,Truyền thống,Hữu cơ,18951,56,Dừa
234,40,Đất đá ong,Truyền thống,Hữu cơ,110579,54,Dừa
